Ticker,Date,Company Name,Sector,Price,Size,1,2,3,Turnover,Gain,Year
NYXH,Jul 2,NYXOAH SA,Health-Care,30.0,2.0,PS,Stifel,CNTR,0.064,0.004,2021
MITQ,Jul 8,Moving iMage Technologies Inc.,Consumer-Services,3.0,4.0,BOTD,,,0.59,7.0,2021
ALCC,Jul 8,AltC Acquisition Corp. (formerly Churchill Capital Corp. VIII),Finance,10.0,45.0,CITI,JPM,GS,0.335,-0.002,2021
RNAZ,Jul 9,Transcode Therapeutics Inc.,Health-Care,4.0,6.0,TEq,,,1.371,0.32299999999999995,2021
SNTG,Jul 9,Sentage Holdings Inc.,Finance,5.0,4.0,NONE,,,0.195,5.978,2021
ARYE,Jul 13,ARYA Sciences Acquisition Corp V,Finance,10.0,13.0,JEFF,GS,,0.131,0.005,2021
SGHT,Jul 15,Sight Sciences Inc.,Health-Care,24.0,10.0,MS,BAML,CITI,0.584,0.396,2021
SERA,Jul 15,Sera Prognostics INC.,Health-Care,16.0,4.0,CITI,COWN,WB,0.703,-0.256,2021
RPID,Jul 15,Rapid Micro Biosystems Inc.,Health-Care,20.0,7.0,JPM,MS,COWN,0.462,0.07,2021
PECO,Jul 15,Phillips Edison & Company Inc.,Finance,28.0,17.0,MS,BAML,JPM,0.395,-0.006,2021
MCG,Jul 15,Membership Collective Group Inc.,Consumer-Services,14.0,30.0,JPM,MS,BAML,0.289,-0.096,2021
FXLV,Jul 15,F45 Training Holdings Inc.,Consumer-Services,16.0,20.0,GS,JPM,,0.479,0.013000000000000001,2021
TCRX,Jul 16,TScan Therapeutics Inc.,Health-Care,15.0,6.0,MS,JEFF,COWN,0.289,-0.3,2021
STVN,Jul 16,Stevanato Group S.p.A.,Health-Care,21.0,32.0,MS,BAML,JEFF,0.392,-0.063,2021
RGC,Jul 16,Regencell Bioscience Holdings Limited,Health-Care,9.5,2.0,MXIM,,,0.415,0.105,2021
IMGO,Jul 16,Imago BioSciences Inc.,Health-Care,16.0,8.0,JEFF,COWN,Stifel,0.36200000000000004,0.018000000000000002,2021
ERAS,Jul 16,Erasca Inc.,Health-Care,16.0,18.0,JPM,MS,BAML,0.23600000000000002,0.08900000000000001,2021
BRDG,Jul 16,Bridge Investment Group Holdings Inc.,Finance,16.0,18.0,MS,JPM,CITI,0.452,-0.022000000000000002,2021
BLND,Jul 16,Blend Labs Inc.,Technology,18.0,20.0,GS,ALLN,WLFG,0.506,0.161,2021
HCWB,Jul 20,HCW Biologics Inc.,Health-Care,8.0,7.0,,,,0.461,-0.213,2021
VTEX,Jul 21,VTEX,Technology,19.0,19.0,JPM,GS,MS,0.55,0.16699999999999998,2021
VEEE,Jul 21,Twin Vee PowerCats Co.,Consumer-Services,7.5,6.0,TEq,,,1.943,0.0,2021
PYCR,Jul 21,Paycor HCM Inc.,Technology,23.0,18.0,GS,JPM,JEFF,0.573,0.133,2021
KLTR,Jul 21,Kaltura Inc.,Technology,10.0,15.0,GS,BAML,WLFG,0.436,0.2,2021
LAW,Jul 21,CS Disco Inc.,Technology,32.0,7.0,JPM,BAML,CITI,0.705,0.281,2021
ZVIA,Jul 22,Zevia PBC,Consumer-Non-Durables,14.0,10.0,GS,BAML,MS,0.436,-0.025,2021
ZENV,Jul 22,Zenvia Inc.,Technology,13.0,11.0,GS,MS,BRDS,0.47200000000000003,-0.215,2021
RYAN,Jul 22,Ryan Specialty Group Holdings Inc.,Finance,23.5,56.0,JPM,BRCL,GS,0.27899999999999997,0.17,2021
INST,Jul 22,Instructure Holdings Inc.,Technology,20.0,12.0,MS,JPM,CITI,0.23600000000000002,0.049,2021
BASE,Jul 22,Couchbase Inc.,Technology,0.0,,MS,GS,,0.0,0.0,2021
ABSI,Jul 22,AbSci Corp.,Health-Care,16.0,12.0,JPM,BAML,CS,0.204,0.349,2021
XPOF,Jul 23,Xponential Fitness Inc.,Consumer-Services,12.0,10.0,BAML,JEFF,MS,0.40299999999999997,0.021,2021
SOPH,Jul 23,Sophia Genetics SA.,Health-Care,18.0,13.0,JPM,MS,COWN,0.198,-0.069,2021
OB,Jul 23,Outbrain Inc.,Technology,20.0,8.0,CITI,JEFF,BRCL,0.493,0.0,2021
GAMB,Jul 23,Gambling.com Group Limited,Consumer-Services,0.0,,JEFF,Stifel,TS,0.0,0.0,2021
CTKB,Jul 23,Cytek BioSciences Inc.,Health-Care,17.0,16.0,MS,GS,PPRJ,0.18899999999999997,0.10400000000000001,2021
CADL,Jul 27,Candel Therapeutics Inc.,Health-Care,8.0,9.0,JEFF,CS,BMO,0.253,-0.125,2021
PWSC,Jul 28,PowerSchool Holdings Inc.,Technology,18.0,39.0,GS,BRCL,CS,0.16699999999999998,-0.013000000000000001,2021
MLNK,Jul 28,MeridianLink Inc.,Technology,26.0,13.0,BAML,CS,BRCL,0.42700000000000005,-0.054000000000000006,2021
DUOL,Jul 28,Duolingo Inc.,Technology,102.0,5.0,GS,ALLN,,0.5660000000000001,0.316,2021
DALS,Jul 28,DA32 Life Science Tech Acquisition Corp.,Finance,10.0,20.0,JPM,COWN,,0.19399999999999998,-0.016,2021
COOK,Jul 29,Traeger Inc. (TGPX Holdings I LLC),Basic-Industries,18.0,23.0,MS,JEFF,BARD,0.58,0.222,2021
HOOD,Jul 29,Robinhood Markets Inc.,Finance,38.0,55.0,GS,JPM,BRCL,1.8630000000000002,-0.084,2021
RSKD,Jul 29,Riskified Ltd.,Technology,21.0,17.0,GS,JPM,CS,0.601,0.23800000000000002,2021
RLYB,Jul 29,Rallybio Corp.,Health-Care,13.0,6.0,JEFF,COWN,EVCR,0.10800000000000001,0.085,2021
NUVL,Jul 29,Nuvalent Inc.,Health-Care,17.0,9.0,JPM,COWN,PPRJ,0.239,0.10300000000000001,2021
ICVX,Jul 29,Icosavax Inc.,Health-Care,15.0,12.0,JEFF,COWN,EVCR,0.259,1.331,2021
TNYA,Jul 30,Tenaya Therapeutics Inc.,Health-Care,15.0,12.0,MS,COWN,PS,0.171,0.023,2021
RXST,Jul 30,RxSight Inc.,Health-Care,16.0,7.0,JPM,BAML,SVB,0.348,0.0,2021
RANI,Jul 30,Rani Therapeutics Holdings Inc.,Health-Care,11.0,6.0,BAML,Stifel,CNTR,0.146,0.0,2021
OMGA,Jul 30,Omega Therapeutics Inc.,Health-Care,17.0,7.0,GS,JEFF,PS,0.158,-0.059000000000000004,2021
INAB,Jul 30,IN8bio Inc.,Health-Care,10.0,4.0,,,,0.379,0.0,2021
IMRX,Jul 30,Immuneering Corp.,Health-Care,15.0,7.0,MS,JEFF,COWN,0.126,0.17300000000000001,2021
DOLE,Jul 30,Dole plc,Consumer-Non-Durables,16.0,25.0,GS,DB,BAML,0.33399999999999996,-0.094,2021
WEBR,Aug 5,Weber Inc.,Basic-Industries,14.0,17.0,GS,BAML,JPM,0.534,0.179,2021
OBT,Aug 5,Orange County Bancorp Inc.,Finance,33.5,1.0,PS,STPH,,0.273,0.018000000000000002,2021
EWCZ,Aug 5,European Wax Center Inc.,Consumer-Services,17.0,10.0,MS,BAML,JEFF,0.431,0.258,2021
ADGI,Aug 6,Adagio Therapeutics Inc.,Health-Care,17.0,18.0,MS,JEFF,Stifel,0.17800000000000002,0.228,2021
ELYM,Aug 10,Eliem Therapeutics Inc.,Health-Care,12.5,6.0,SVB,EVCR,Stifel,0.23800000000000002,0.272,2021
SSBK,Aug 12,Southern States Bancshares Inc.,Finance,19.0,2.0,KBW,TS,,0.368,0.040999999999999995,2021
AUID,Aug 24,IPSIDY Inc.,Technology,7.0,1.0,BOTD,,,0.18600000000000003,0.057,2021
TYRA,Sep 15,Tyra Biosciences Inc.,Health-Care,16.0,10.0,BAML,JEFF,COWN,0.139,0.625,2021
BTCY,Aug 26,Biotricity Inc.,Health-Care,3.0,5.0,HCW,,,0.315,-0.03,2021
SRAD,Sep 14,Sportradar Group AG,Technology,27.0,19.0,JPM,MS,CITI,674705.2629999999,-0.07200000000000001,2021
FCUV,Aug 31,Focus Universal Inc.,Technology,5.0,2.0,BOTD,,,0.716,0.02,2021
DDI,Aug 31,DoubleDown Interactive Co. Ltd.,Technology,18.0,6.0,,,,0.606,-0.013999999999999999,2021
TWKS,Sep 15,Thoughtworks Holding Inc. (Turing Holding),Technology,21.0,36.0,GS,JPM,CS,0.335,0.4,2021
PRCT,Sep 15,PROCEPT BioRobotics Corporation,Health-Care,25.0,6.0,BAML,GS,,0.669,0.6779999999999999,2021
ONON,Sep 15,On Holding AG,Miscellaneous,24.0,31.0,GS,MS,JPM,0.44299999999999995,0.45799999999999996,2021
EZFL,Sep 15,EzFill Holdings Inc.,Energy,4.0,6.0,TEq,,,2.064,0.135,2021
BROS,Sep 15,Dutch Bros Inc.,Consumer-Non-Durables,23.0,21.0,BAML,JPM,JEFF,0.742,0.595,2021
DICE,Sep 15,DICE Therapeutics Inc.,Health-Care,17.0,12.0,BAML,SVB,EVCR,0.122,1.17,2021
DH,Sep 15,Definitive Healthcare Corp.,Technology,27.0,15.0,GS,JPM,MS,0.503,0.603,2021
AEHAU,Sep 15,Aesther Healthcare Acquisition Corp.,Finance,10.0,10.0,EF,,,0.0,-1.0,2021
FORG,Sep 16,ForgeRock Inc.,Technology,25.0,11.0,MS,JPM,DB,0.953,0.46,2021
ACT,Sep 16,Enact Holdings Inc. (formerly Genworth Mortgage Holdings Inc.),Finance,19.0,13.0,GS,JPM,BAML,0.257,0.078,2021
VBNK,Sep 22,VersaBank,Finance,10.0,5.0,RAYJ,,,0.1,0.05,2021
TOST,Sep 22,Toast Inc.,Technology,40.0,21.0,GS,MS,JPM,0.653,0.563,2021
FRSH,Sep 22,Freshworks Inc.,Technology,36.0,28.0,MS,JPM,BAML,0.688,0.321,2021
AKA,Sep 22,a.k.a. Brands Holding Corp.,Consumer-Non-Durables,11.0,10.0,BAML,CS,JEFF,0.74,-0.092,2021
STER,Sep 23,Sterling Check Corp.,Technology,23.0,14.0,GS,JPM,MS,0.51,0.17,2021
SOVO,Sep 23,Sovos Brands Inc.,Consumer-Non-Durables,12.0,23.0,JT,GS,BAML,0.33899999999999997,0.127,2021
RELY,Sep 23,Remitly Global Inc.,Technology,43.0,12.0,GS,JPM,BRCL,0.804,0.127,2021
ESMT,Sep 23,ENGAGESMART Inc.,Technology,26.0,14.0,JPM,GS,BAML,0.0,-1.0,2021
BRLT,Sep 23,Brilliant Earth Group Inc.,Basic-Industries,12.0,8.0,JPM,CS,JEFF,0.955,0.42700000000000005,2021
ARBK,Sep 23,Argo Blockchain Plc,Technology,15.0,7.0,JEFF,BRCL,CNCD,1.256,0.11699999999999999,2021
HLTH,Sep 24,CUE Health Inc.,Health-Care,16.0,12.0,GS,MS,COWN,0.878,0.25,2021
CWAN,Sep 24,Clearwater Analytics Holdings Inc.,Technology,18.0,30.0,GS,JPM,MS,0.395,0.409,2021
AMPL,Sep 28,Amplitude Inc.,Technology,50.0,35.0,MS,BAML,CITI,0.326,0.096,2021
WRBY,Sep 29,Warby Parker Inc.,Consumer Services,40.0,77.0,GS,MS,ALLN,0.069,0.326,2021
HCVIU,Sep 29,Hennessy Capital Investment Corp. VI,Finance,10.0,30.0,BRCL,CITI,,0.348,-0.001,2021
OLPX,Sep 30,Olaplex Holdings Inc.,Consumer-Services,21.0,73.0,GS,JPM,MS,0.499,0.16699999999999998,2021
TDCX,Oct 1,TDCX Inc.,Technology,18.0,19.0,GS,CS,,0.386,0.059000000000000004,2021
FWRG,Oct 1,First Watch Restaurant Group Inc.,Consumer-Non-Durables,18.0,9.0,BAML,GS,JEFF,0.368,0.22899999999999998,2021
EXAI,Oct 1,Exscientia plc,Health-Care,22.0,13.0,GS,MS,BAML,0.434,0.23199999999999998,2021
VLCN,Oct 6,Volcon Inc.,Transportation,5.5,3.0,AGIS,,,2.371,0.975,2021
THRX,Oct 7,THESEUS Pharmaceuticals Inc.,Health-Care,16.0,10.0,JEFF,SVB,CNTR,0.389,0.161,2021
LTH,Oct 7,Life Time Group Holdings Inc.,Consumer-Services,18.0,39.0,GS,MS,BAML,0.312,-0.013999999999999999,2021
PYXS,Oct 8,Pyxis Oncology Inc.,Health-Care,16.0,10.0,BAML,JEFF,CS,0.405,-0.175,2021
ISO,Oct 8,IsoPlexis Corp.,Health-Care,15.0,8.0,MS,COWN,EVCR,0.47,-0.23199999999999998,2021
CGTX,Oct 8,Cognition Therapeutics Inc.,Health-Care,12.0,3.0,,OPPN,,0.75,0.064,2021
HCTI,Oct 13,Healthcare Triangle Inc.,Technology,4.0,3.0,EF,,,3.097,-0.10300000000000001,2021
AVDX,Oct 13,AvidXchange Holdings Inc.,Technology,25.0,26.0,GS,JPM,BAML,0.523,-0.002,2021
LUCD,Oct 14,Lucid Diagnostics Inc.,Health-Care,14.0,5.0,CNTR,CNCD,,1.003,-0.16,2021
IHS,Oct 14,IHS Holding Limited,Basic-Industries,21.0,18.0,GS,JPM,CITI,0.595,-0.19,2021
GTLB,Oct 14,GitLab Inc.,Technology,77.0,10.0,GS,JPM,BAML,0.47600000000000003,0.494,2021
