,Ticker,Trade Date,Company,Lead/Joint-Lead Mangers,Offer Price,Opening Price,1st Day Close,1st Day Percent Change,Change Opening,Change Close,Star Ratings,Year,Underpriced
2371,RMP,2014-12-17,Rice Midstream Partners LP ,['Barclays'],16.5,15.79,16.3,-0.012121212,-0.71,-0.2,1,2014,True
2372,BLCM,2014-12-18,Bellicum Pharmaceuticals  ,"['Jefferies', 'Citigroup', 'Piper Jaffray']",19.0,24.41,23.88,0.2568421,5.41,4.88,3,2014,False
2373,JUNO,2014-12-19,Juno Therapeutics  ,"['Morgan Stanley', 'J.P. Morgan', 'Goldman Sachs']",24.0,39.0,35.0,0.45833334,15.0,11.0,4,2014,False
2374,PN,2015-01-16,Patriot National  ,"['UBS Investment Bank', 'BMO Capital Markets', 'SunTrust Robinson Humphrey']",14.0,13.49,13.5,-0.035714287,-0.51,-0.5,1,2015,True
2375,ICBK,2015-01-16,County Bancorp  ,"['Baird', 'Sterne Agee']",15.75,16.35,17.0,0.07936508,0.6,1.25,1,2015,False
2376,QPACU,2015-01-16,Quinpario Acquisition Corp. 2  ,"['Deutsche Bank Securities', 'Cantor Fitzgerald']",10.0,10.01,10.0,0.0,0.01,0.0,1,2015,False
2377,BOX,2015-01-23,Box,"['Morgan Stanley', 'Credit Suisse', 'J.P. Morgan']",14.0,20.2,23.23,0.6592857,6.2,9.23,3,2015,False
2378,ZSAN,2015-01-27,Zosano Pharma (ZSAN),"['Ladenburg Thalmann', 'Roth Capital Partners']",11.0,12.16,11.1,0.009090909,1.16,0.1,1,2015,False
2379,ASND,2015-01-28,Ascendis Pharma A/S  ,"['BofA Merrill Lynch', 'Leerink Partners']",18.0,21.5,18.83,0.04611111,3.5,0.83,2,2015,False
2380,ENTL,2015-01-29,Entellus Medical ,"['BofA Merrill Lynch', 'Piper Jaffray']",17.0,19.26,22.0,0.29411766,2.26,5.0,2,2015,False
2381,FLKS,2015-01-29,Flex Pharma  ,"['Jefferies', 'Piper Jaffray']",16.0,19.0,14.95,-0.065625,3.0,-1.05,2,2015,True
2382,LENS,2015-01-29,Presbia PLC ,['Jefferies'],10.0,9.25,8.15,-0.185,-0.75,-1.85,1,2015,True
2383,AVGR,2015-01-30,Avinger  ,"['Canaccord Genuity', 'Cowen']",13.0,13.15,13.5,0.03846154,0.15,0.5,1,2015,False
2384,HIFR,2015-01-30,InfraREIT ,"['BofA Merrill Lynch', 'Citigroup']",23.0,27.1,26.6,0.15652174,4.1,3.6,3,2015,False
2385,ONCE,2015-01-30,Spark Therapeutics ,"['J.P. Morgan', 'Credit Suisse']",23.0,42.05,50.0,1.173913,19.05,27.0,4,2015,False
2386,TCON,2015-01-30,Tracon Pharmaceuticals ,"['Wells Fargo Securities', 'Stifel']",10.0,10.0,9.4,-0.06,0.0,-0.6,1,2015,True
2387,SHAK,2015-01-30,Shake Shack ,"['J.P. Morgan', 'Morgan Stanley']",21.0,47.0,45.9,1.1857142,26.0,24.9,3,2015,False
2388,NVET,2015-02-05,Nexvet Biopharma plc ,"['BofA Merrill Lynch', 'Cowen and Company']",10.0,9.15,8.88,-0.112,-0.85,-1.12,1,2015,True
2389,BHACU,2015-02-06,Barington/Hilco Acquisition  ,['EarlyBirdCapital'],10.0,10.0,9.99,-0.001,0.0,-0.01,1,2015,True
2390,CPPL,2015-02-06,Columbia Pipeline Partners LP ,"['Barclays', 'Citigroup', 'BofA Merrill Lynch', 'Goldman Sachs', 'J.P. Morgan', 'Morgan Stanley', 'Wells Fargo Securities']",23.0,28.0,26.79,0.16478261,5.0,3.79,3,2015,False
2391,DEA,2015-02-06,Easterly Government Properties  (DEA),"['Citigroup', 'Raymond James', 'RBC Capital Markets']",15.0,16.25,15.5,0.033333335,1.25,0.5,1,2015,False
2392,AVNU,2015-02-10,Avenue Financial  ,"['Keefe, Bruyette & Woods (A Stifel Company)']",11.0,14.3,11.85,0.07727273,3.3,0.85,2,2015,False
2393,INOV,2015-02-12,Inovalon Holdings ,"['Goldman Sachs', 'Morgan Stanley', 'Citigroup', 'BofA Merrill Lynch', 'UBS Investment Bank']",27.0,33.16,27.0,0.0,6.16,0.0,3,2015,False
2394,NVTA,2015-02-12,Invitae  ,['J.P. Morgan'],16.0,17.5,17.05,0.065625,1.5,1.05,3,2015,False
2395,BLPH,2015-02-13,Bellerophon Therapeutics   ,"['Leerink Partners', 'Cowen and Company']",12.0,10.0,8.97,-0.2525,-2.0,-3.03,1,2015,True
2396,EYEG,2015-02-13,Eyegate Pharmaceuticals   ,['Aegis Capital Corp'],6.0,6.0,6.0,0.0,0.0,0.0,1,2015,False
2397,AJX,2015-02-13,Great Ajax  ,"['FBR', 'Sterne Agee', 'Nomura']",14.25,14.25,14.0,-0.01754386,0.0,-0.25,1,2015,True
2398,FNTCU,2015-02-13,FinTech Acquisition ,['Cantor Fitzgerald '],10.0,10.0,10.0,0.0,0.0,0.0,1,2015,False
