Issuer Ticker,Issuer Name,Announced Date,Pricing Date,Industry Sector,Sales - 1 Yr Growth,Profit Margin,Return on Assets,Offer Size (M),Shares Outstanding (M),Market Cap at Offer (M)
JOFFU,JOFF Fintech Acquisition,1/19/2021,2/4/2021,Diversified,,,2.8,414,41.4,414
TBCPU,Thunder Bridge Capital Partner,1/15/2021,2/4/2021,Diversified,,,2.1,414,42.175,421.75
GSQD/U,G Squared Ascend I,1/20/2021,2/4/2021,Diversified,,,,345,34.5,300
SMRT,SmartRent,1/20/2021,2/4/2021,Industrial,,-65,-22,345,34.5,345
ATMR/U,Fathom Digital Manufacturing C,1/20/2021,2/4/2021,Industrial,,11.8,8.1,345,34.5,300
SDACU,Sustainable Development Acquis,1/15/2021,2/4/2021,Diversified,,,,316.25,31.625,316.25
COVAU,COVA Acquisition,1/20/2021,2/4/2021,Diversified,,,4.7,300,30,300
BOLT,Bolt Biotherapeutics,1/15/2021,2/4/2021,"Consumer, Non-cyclical",445.4,-7824.6,-31.9,264.5,13.225,264.5
QFTA/U,Quantum FinTech Acquisition Co,2/4/2021,2/4/2021,Diversified,,,-1.1,201.25,0,0
LHDX,Lucira Health,1/15/2021,2/4/2021,"Consumer, Non-cyclical",34492.9,-69.6,-16.4,175.95,37.2172,632.692
TERN,Terns Pharmaceuticals,1/15/2021,2/4/2021,"Consumer, Non-cyclical",,-5015.8,-32.3,146.625,25.0967,426.644
PTA,Cohen & Steers Tax-Advantaged,11/19/2019,2/5/2021,Financial,,,,1250,0,0
KURIU,Alkuri Global Acquisition,12/30/2020,2/5/2021,"Consumer, Non-cyclical",,,,345,34.5,345
VOR,Vor BioPharma,1/15/2021,2/5/2021,"Consumer, Non-cyclical",,,-32.5,203.44,35.6458,641.624
ANGN,Angion Biomedica,1/15/2021,2/5/2021,"Consumer, Non-cyclical",883,-192.7,-24.6,92,29.4706,460.482
SPAQ/U,Spartan Acquisition III,1/15/2021,2/8/2021,Diversified,,,,552,55.2,552
GIGGU,BigBear.ai Holdings,1/22/2021,2/8/2021,Technology,,-84.8,-64.4,358.8,36.81,321.3
ENNVU,Fast Radius,1/15/2021,2/8/2021,Technology,,-339.2,-38.9,345,34.5,345
PICC/U,Pivotal Investment III,1/13/2021,2/8/2021,Diversified,,,,276,27.6,276
CPTK/U,Crown PropTech Acquisitions,1/21/2021,2/8/2021,Diversified,,,4.8,276,27.6,240
PMGMU,Priveterra Acquisition,1/21/2021,2/8/2021,Diversified,,,3.8,276,27.6,276
EVOJU,Evo Acquisition,1/20/2021,2/8/2021,Diversified,,,12.6,125.005,12.5005,125.005
ADRA/U,Adara Acquisition,11/18/2020,2/8/2021,Diversified,,,2.7,115,11.5,115
VENAU,Venus Acquisition,12/18/2020,2/8/2021,Diversified,,,-3.4,46,4.815,48.15
RELI,Reliance Global Group,10/8/2020,2/8/2021,Financial,33.3,-217.2,1.5,12.42,10.8891,65.3346
APGB/U,Apollo Strategic Growth Capita,1/6/2021,2/9/2021,Diversified,,,-0.8,690,69,690
LGACU,Lazard Growth Acquisition,1/25/2021,2/9/2021,Diversified,,,-0.5,575,57.5,500
XPDIU,Core Scientific,1/22/2021,2/9/2021,"Consumer, Non-cyclical",,,-18.7,345,34.5,345
FOREU,P3 Health Partners,1/8/2021,2/9/2021,"Consumer, Non-cyclical",,-24.5,-13.2,316.25,32.375,323.75
DSP,Viant Technology,1/22/2021,2/9/2021,Technology,35.6,-3.4,-2.1,287.5,11.5,287.5
PGRWU,Progress Acquisition,1/13/2021,2/9/2021,Diversified,,,,172.5,17.25,172.5
VLON,Vallon Pharmaceuticals,10/23/2020,2/9/2021,"Consumer, Non-cyclical",,,-108.6,18,6.7562,54.0496
BMBL,Bumble,1/15/2021,2/10/2021,Communications,31.5,41.5,-0.1,2472.5,111.678,4802.17
SGFY,Signify Health,1/19/2021,2/10/2021,"Consumer, Non-cyclical",26.6,2.5,-17.5,648.6,169.36,4064.64
PUCKU,Goal Acquisitions,1/21/2021,2/10/2021,Diversified,,,-0.9,258.75,26.475,264.75
APR,Apria,1/15/2021,2/10/2021,"Consumer, Non-cyclical",3.3,5.6,,172.5,35.2109,704.218
BVS,Bioventus,1/20/2021,2/10/2021,"Consumer, Non-cyclical",34.1,4.5,-2.1,119.6,38.8972,490.064
LDI,loanDepot,1/11/2021,2/10/2021,Financial,-11.2,2.8,-1.8,61.985,6.6463,84.9632
SCLEU,Broadscale Acquisition,1/27/2021,2/11/2021,Diversified,,,2.3,345,30,300
SLAC/U,Social Leverage Acquisition Co,1/25/2021,2/11/2021,Diversified,,,1.4,345,34.5,0
TSIBU,Tishman Speyer Innovation,1/26/2021,2/11/2021,Diversified,,,2.8,300,30,300
TLIS,Talis Biomedical,1/22/2021,2/11/2021,"Consumer, Non-cyclical",-25.1,-2343.9,-42.2,253.92,23.2499,371.998
RCLFU,Rosecliff Acquisition I,1/27/2021,2/11/2021,Diversified,,,2.3,253,22,0
TCACU,SpringBig Holdings,1/27/2021,2/11/2021,Technology,,,7.6,200,20,200
DBTX,Decibel Therapeutics,1/22/2021,2/11/2021,"Consumer, Non-cyclical",,,-33.9,137.916,23.9016,430.229
